algorithm_name,pipeline_components,pipeline_formula,combined_description,total_time_complexity,total_space_complexity,num_stages
DEFLATE,"[""LZ77 (Sliding Window)"", ""Canonical Huffman""]","encode(match) = (distance_back, match_length, next_char) → code(s) = base[length(s)] + rank_within_same_length",Replace repeated sequences with back-references; basis for DEFLATE; Huffman variant requiring only code lengths to reconstruct; used in DEFLATE,O(n * window),O(window),2
bzip2,"[""Burrows-Wheeler Transform"", ""Move-to-Front Transform"", ""Zero RLE"", ""Huffman Coding""]","BWT(s) = last_column(sort(all_rotations(s))) → MTF(s_i) = index_of(s_i, L); then move s_i to L[0] → encode(n zeros) = (ZERO_TOKEN, count); non-zeros passed through → code_length(x) = ceil(-log2(p(x)))",Reversible transform that groups similar contexts together; basis for bzip2; Exploits locality by outputting small numbers for recently-seen symbols; RLE specialized for runs of zeros; common after BWT+MTF; Optimal prefix-free code for known distributions; used in DEFLATE,O(n log n),O(n),4
LZMA/7z,"[""Delta Encoding"", ""LZMA (Lempel-Ziv-Markov chain)""]",delta_i = x_i - x_{i-1}; x_0' = x_0 → LZMA = LZ77_matches + range_coder(context_modeled_bits),"Stores differences between consecutive values; effective for sorted/smooth data; LZ77 with range coding and sophisticated context modeling; used in 7z, xz",O(n),O(1),2
Zstandard,"[""Zstandard (ZSTD)""]",ZSTD = FSE_entropy(literals) + FSE_entropy(sequences) + matches,Modern LZ77 + ANS entropy coding; excellent ratio/speed tradeoff,O(n),O(window_size),1
PPMd,"[""Prediction by Partial Matching (PPM)"", ""Range Coding""]","P(x) = weighted_blend(P_order_n(x), P_order_n-1(x), ..., P_order_0(x)) → range = high - low; update [low, high) based on cumulative probability",Blends predictions from multiple context orders with escape mechanism; Arithmetic coding variant with byte-aligned output; used in LZMA,O(n * max_order),O(1),2
PAQ,"[""Context Mixing (Logistic/PAQ)"", ""Arithmetic Coding""]","P = sigmoid(SUM(w_i * ln(P_i / (1 - P_i)))) → [low, high) = [low + range*CDF(x-1), low + range*CDF(x))",Logistic mixing in log-odds space; more stable than linear mixing; Near-optimal entropy coding; approaches H(X) bits per symbol,O(n),O(1),2
LZ4,"[""LZ4 (Fast LZ)""]","token = (literal_length:4bits, match_length:4bits) + literals + offset16",Extremely fast LZ77 variant optimized for decompression speed,O(n),O(64KB),1
FLAC,"[""Linear Predictor"", ""Rice Code""]",x_hat_i = SUM(a_j * x_{i-j}) for j=1 to p → R_k(n) = unary(n >> k) + k lowest bits of n,"Linear combination of previous samples; used in FLAC, PNG; Golomb code with m = 2^k; simpler and faster",O(n * p),O(1),2
PNG,"[""PNG Predictors (Paeth)"", ""Delta Encoding"", ""LZ77 (Sliding Window)"", ""Canonical Huffman""]","Paeth(left, above, upper_left) = closest_to(left + above - upper_left) → delta_i = x_i - x_{i-1}; x_0' = x_0 → encode(match) = (distance_back, match_length, next_char) → code(s) = base[length(s)] + rank_within_same_length",2D predictor selecting from left/above/diagonal based on gradient; Stores differences between consecutive values; effective for sorted/smooth data; Replace repeated sequences with back-references; basis for DEFLATE; Huffman variant requiring only code lengths to reconstruct; used in DEFLATE,O(n * window),O(1),4
CTW,"[""Context Tree Weighting (CTW)"", ""Arithmetic Coding""]","P_s = 0.5 * P_estimated(s) + 0.5 * P_child0 * P_child1 → [low, high) = [low + range*CDF(x-1), low + range*CDF(x))",Bayesian mixture over all context tree depths; theoretically optimal; Near-optimal entropy coding; approaches H(X) bits per symbol,O(n * depth),O(1),2
